"","logFC","logCPM","LR","PValue","FDR"
"PITA_38653",4.02759549619112,1.99028088169925,27.945497601674,1.24780962247396e-07,2.77387012572012e-05
"PITA_38782",3.96798073074063,3.60527696565528,27.8588815414363,1.30493674770825e-07,2.85210923286923e-05
"PITA_17006",1.66803644968115,5.75639333674085,27.7817487071234,1.35801206700752e-07,2.94337798756654e-05
"PITA_08649",3.6012216144853,3.21465573821269,27.744277955667,1.38457122218547e-07,2.97614156345635e-05
"PITA_19528",2.17520755704629,3.79460921965185,27.7146025990003,1.40597390912035e-07,2.99737503297632e-05
"PITA_16273",3.71108178073658,4.93694008392591,27.6570611756584,1.44842374240327e-07,3.06276854602981e-05
"PITA_34562",3.94766997505446,2.83120865110741,27.5501134896949,1.53076387463142e-07,3.2107772270394e-05
"PITA_44277",2.53924947697532,3.9284712109158,27.3447764876518,1.7022364822806e-07,3.51376735457429e-05
"PITA_45156",3.2133531637233,7.14943651071111,26.8338212039494,2.21722784825592e-07,4.54077788230616e-05
"PITA_10661",3.30591778432222,5.88057821533097,26.7722623599181,2.28899412276095e-07,4.65112876085074e-05
"PITA_35549",5.56479842351456,0.240299006469147,26.7175702881412,2.35470596313225e-07,4.74756181357417e-05
"PITA_30524",5.0234704913321,0.458575986721863,26.5612110272126,2.55318777487287e-07,5.10814314128219e-05
"PITA_47065",3.43800605473967,2.92332903233852,26.5426247353233,2.57786980330317e-07,5.11815387130626e-05
"PITA_13788",3.23201625769135,6.45758891306735,26.488776069105,2.65073773520553e-07,5.22295740567884e-05
"PITA_04101",2.67393871300727,3.23065390060435,26.4299433389481,2.73271234444155e-07,5.34399363658498e-05
"PITA_02618",2.62208209596069,2.69124780370892,26.3187814785035,2.89460056112404e-07,5.61833328315487e-05
"PITA_30206",3.26944215496002,2.13059871512674,26.1487673262771,3.1609883490786e-07,6.08993673860632e-05
"PITA_19250",2.43137478586056,3.98098906122139,25.8862309047336,3.62143128565391e-07,6.92572105210092e-05
"PITA_33906",1.8607115515328,6.05684398773197,25.5859757474732,4.23103360856082e-07,8.03247833029624e-05
"PITA_43247",2.629267696044,3.01210918191475,25.5660808116064,4.27488405517738e-07,8.05691734718178e-05
"PITA_32221",4.75652955507561,3.19068766688697,25.5244475816162,4.36812782503715e-07,8.17342709362526e-05
"PITA_13694",4.36326651550789,4.46806761919617,25.4107305084021,4.63333696793513e-07,8.60774722850177e-05
"PITA_03936",3.92176339632535,1.69205807201693,25.3661240306984,4.74172289988864e-07,8.74662914207119e-05
"PITA_20841",4.77601022252021,3.09086596187267,25.3461379366014,4.79110670772557e-07,8.77548551839679e-05
"PITA_28566",4.27377483170508,0.851569437229415,25.1867124889768,5.20395063746951e-07,9.33445187103065e-05
"PITA_38641",4.48262166717819,1.06973744879662,24.9077885999813,6.01389665028224e-07,0.000107133861628213
"PITA_31896",3.06597859540582,3.08973826016042,24.8700603544506,6.13275215981081e-07,0.000108507993826204
"PITA_45350",4.40401567850121,1.99175019042203,24.8145993420031,6.31176056151026e-07,0.000110920662462379
"PITA_43456",5.0298317162045,3.10832823965055,24.7022979673157,6.6904354867576e-07,0.000116786266157771
"PITA_26310",3.32830610733259,3.10723293192275,24.4711788340122,7.54297707185589e-07,0.0001307901937746
"PITA_34684",2.17264000761811,6.89920140771363,24.4435128929703,7.65207322526712e-07,0.000131047881058448
"PITA_02206",1.8706741223159,5.23380445513009,24.4418678790876,7.65860968160412e-07,0.000131047881058448
"PITA_22324",3.71110299738679,3.04251199562399,24.2551774958686,8.43799566468926e-07,0.000143440411269871
"PITA_33791",4.54615147531898,0.866677204075782,24.2066149890123,8.65345522206065e-07,0.000146147868097776
"PITA_35391",1.59930834805776,6.48234809303751,24.1461946080838,8.92924364618136e-07,0.000149832708382923
"PITA_20002",3.71031327887829,1.37143310952729,24.0331786992214,9.46898781137586e-07,0.000157871092298766
"PITA_16466",4.25063665282157,2.16436717162067,24.0030318091436,9.6184125131646e-07,0.000159340949716496
"PITA_08442",1.55202350098666,5.53559201718244,23.9534685391515,9.86923270965716e-07,0.000162461312370553
"PITA_41099",3.76087088754491,3.0789873205802,23.9139303262394,1.00740153261721e-06,0.00016478934881661
"PITA_41039",2.58727483210269,4.66199143668581,23.4706208729749,1.26835905671453e-06,0.000206179691913051
"PITA_10820",2.64838137828758,4.83703699842752,23.3866684545662,1.32493592790062e-06,0.00021403887297371
"PITA_25296",3.07492836376875,6.04027439909004,23.2969607096915,1.38819193688353e-06,0.000222873358558047
"PITA_41395",3.39315985501105,2.52086644976322,23.2619315039187,1.41370676227518e-06,0.000225577295582915
"PITA_42431",3.74729997849388,7.77659738285964,23.032381732979,1.59295594668678e-06,0.000252629214740101
"PITA_32390",1.7161185397703,5.29591482469116,23.0013355326997,1.61888895575855e-06,0.000255185956668631
"PITA_46887",3.48118989137877,7.7020432920472,22.8706117051034,1.73281088414267e-06,0.000271498061961847
"PITA_41201",5.11533311844876,5.87577356560246,22.8317061236691,1.76824399117305e-06,0.000274611382074177
"PITA_23329",4.0051843918797,1.07667239555832,22.727953238887,1.86633091166572e-06,0.000287227222967537
"PITA_30741",4.63887869266926,5.56955581478595,22.7068717606234,1.88691873572452e-06,0.000288687467043876
"PITA_07948",3.59782367411146,1.69235850651282,22.6794313084045,1.91405827093814e-06,0.000290934866438132
"PITA_07595",3.32310140832853,1.16211427329261,22.669496839147,1.92398004642081e-06,0.000290934866438132
"PITA_15425",1.78482079886924,4.56917156019214,22.580866166056,2.0148125373294e-06,0.000300701937637449
"PITA_05293",3.28637283526463,3.4577367370815,22.5728329285102,2.02325499198561e-06,0.000300701937637449
"PITA_35022",2.26046007982119,3.30460826587229,22.2978989474991,2.3346190717123e-06,0.000341129817057108
"PITA_26369",1.55327829840455,5.96042177959873,22.2662820031145,2.37337717185894e-06,0.000344855680798208
"PITA_04044",1.82031557763736,7.51035970459139,22.2040788744696,2.45152430780551e-06,0.000354231642898409
"PITA_27863",2.468972293522,5.60786542161065,22.1909883540422,2.46829620867785e-06,0.000354684619290068
"PITA_20975",4.13711327708561,4.25603128705107,22.1254011290715,2.55407750745487e-06,0.000364994515886779
"PITA_22393",2.26507945104204,5.20936697856912,21.9290460123593,2.82919164209398e-06,0.000393933234311247
"PITA_25485",4.46835376532924,0.717435799713009,21.9269328881991,2.8323086168712e-06,0.000393933234311247
"PITA_18399",3.04995817415225,5.09377580913844,21.8435952830382,2.95802299727303e-06,0.000409229894340821
"PITA_35674",3.76885166348381,6.19539120934744,21.7998797096774,3.02619106490635e-06,0.000416445520672747
"PITA_41111",3.58673981185515,2.09885719614826,21.7424532439841,3.11814047682229e-06,0.000426840608745636
"PITA_27740",4.33698401754224,0.318870022260458,21.6851717202084,3.21265061995378e-06,0.000437475549604073
"PITA_45790",2.95221036046282,2.86416859650949,21.3675462799485,3.79134895849225e-06,0.000513589557611589
"PITA_38247",1.43803643565432,6.79142793256685,21.2890069962511,3.94990156967785e-06,0.000532295284589384
"PITA_36140",4.9088601127002,3.2841324025812,21.2527218512382,4.02538356858704e-06,0.000539671140388558
"PITA_19648",4.60692992579996,0.11578375908198,21.2026495137096,4.13192921694332e-06,0.00055111460001784
"PITA_48756",2.97972192762912,1.83866261496201,21.1119399493579,4.33220382624163e-06,0.000574879027126115
"PITA_28479",3.56774849761745,6.78615212819871,21.0795836994735,4.40597545651608e-06,0.000581700587048359
"PITA_13193",1.58231644894866,6.38366881337692,20.9295641105188,4.76483791143021e-06,0.00062590236989085
"PITA_34591",1.83258061272617,5.15272458084553,20.8981686189699,4.8435745238939e-06,0.000633047888401791
"PITA_46440",4.24305952046747,0.572732740239877,20.8671804392237,4.92257008800529e-06,0.000640155627094648
"PITA_05188",2.58079022898058,7.47588122454791,20.7945961113097,5.11270216930155e-06,0.000661214957944963
"PITA_10539",4.6024845587812,1.64679144384196,20.7861298167744,5.13535397381224e-06,0.000661214957944963
"PITA_01197",2.3324944436437,2.59879718711241,20.7474552709063,5.24011659046564e-06,0.000671380258135078
"PITA_17848",4.93184215755714,0.856637509715542,20.6923216724189,5.39318348053697e-06,0.00068760445659454
"PITA_14098",3.86669033906939,3.16588312921338,20.5914217433493,5.68502813469363e-06,0.000717776197841003
"PITA_41916",3.57694985819948,3.64097961876718,20.580771263071,5.71674416069259e-06,0.000718293714374172
"PITA_11995",2.24973252789404,5.16670395717022,20.5556317089067,5.79231329230286e-06,0.00072428979047839
"PITA_04854",3.41353939299221,2.14041522423149,20.4504049624165,6.11966060475964e-06,0.000761561017555949
"PITA_43376",3.57192804098416,7.03927254602501,20.3940080976589,6.30268281432214e-06,0.00078060227294145
"PITA_23638",3.10887141225811,1.78312646758798,20.342692874835,6.47398401723567e-06,0.000798018247887594
"PITA_21435",2.03466302932637,4.79582001717326,20.2501200899232,6.79491971040031e-06,0.000833627673338687
"PITA_19393",3.89768506676628,0.750670992322322,20.1827302498605,7.03855157581422e-06,0.000853342662998517
"PITA_21954",2.29505552582142,4.88063416180708,20.1504378329023,7.15838599716785e-06,0.000861955839816383
"PITA_37344",2.98019556837549,1.52685935821914,20.1051948977606,7.32973160077247e-06,0.0008785206875783
"PITA_04147",4.52592989548228,0.0399000395731337,20.0897629633302,7.38911276892726e-06,0.000881575385353344
"PITA_44262",2.21721257933263,3.77292865411783,20.038226098489,7.59094550561399e-06,0.000901520098883627
"PITA_38928",3.47109287182574,1.55507650327903,20.0038402253487,7.72867935686132e-06,0.000909571137523104
"PITA_49543",1.92267866614243,4.74550489484476,19.8963720895343,8.1755322206912e-06,0.00095674834023146
"PITA_32589",3.26594021447411,2.72701078658435,19.8899324713425,8.20311737750839e-06,0.00095674834023146
"PITA_30628",3.20538762482689,1.41961944145731,19.8552389304226,8.35334866283827e-06,0.000969877938656225
"PITA_49866",3.90371479875291,1.46060487784534,19.8468083946621,8.3902701448595e-06,0.000969877938656225
"PITA_23882",1.90521277216299,4.6345472756475,19.6246177272249,9.42470106554442e-06,0.00108463296466259
"PITA_06935",2.91896319784466,1.50829409712576,19.2883958698486,1.12387319939935e-05,0.00128770123538228
"PITA_48965",3.57082905296028,2.81571872462619,19.251451638793,1.14583221099757e-05,0.00130710306911561
"PITA_03190",3.23218631538981,5.27091598023569,19.1893161191701,1.18374057720979e-05,0.0013444501603777
"PITA_48672",2.82007043078388,4.80294443407357,19.1178512855944,1.22890071735556e-05,0.00138967298946525
"PITA_24394",1.72313475283809,6.17965605616824,18.8378670594715,1.42313467270803e-05,0.00160235106937069
"PITA_29308",3.81023754823187,2.26117233839827,18.8126634172837,1.44206471637866e-05,0.00161666643139193
"PITA_37789",4.29280620387396,2.63141538729213,18.7688858710116,1.47554845449233e-05,0.0016471047104245
"PITA_01815",4.01002734021238,1.6385478957908,18.676254266869,1.54899567755772e-05,0.00171437568415314
